Title,Parallel,Type,Rarity,Edition Size,Description,Ability,Cost,Attack,Health,Image URL,Token ID,Artist,mp_img_url
The Priming,Universal,Effect,Prime,1,"Home is where we come from. The birthplace of hopes and dreams. It is our safety and our future and we must all return to it. Nothing is more worthy of living, fighting and dying for. Our home: Earth.","Destroy all units.
Take the enemy's hand and put it into your Bank.
Draw cards until your hand is full.
If this card is banked, you lose the game.",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_ThePriming/Unv_ThePriming_Non_Prm_Fe_Img.png,7,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_ThePriming/Unv_ThePriming_Non_Prm_Mp_Img.png
Archivist's Pride,Kathari,Effect,Common,"30,000","Our sequences are retained and so too, we hope, our souls.",Shuffle four copies of a friendly banked non-legendary Kathari unit to your deck.,1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_ArchivistsPride/Kat_ArchivistsPride_Non_Cmn_Fe_Img.png,8,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_ArchivistsPride/Kat_ArchivistsPride_Non_Prm_Mp_Img.png
Revitalizing Growth,Earthen,Effect,Uncommon,"10,000","The breath of life flows through the Earthen, giving them strength to stand once again and defend their home.",Heal any target for 5.,1,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_RevitalizingGrowth/Ert_RevitalizingGrowth_Non_Ucm_Fe_Img.png,9,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_RevitalizingGrowth/Ert_RevitalizingGrowth_Non_Prm_Mp_Img.png
Artillery Volley,Marcolian,Effect,Legendary,900,We fired from the safety of the walls and watched the garish brutes flee. They underestimated Marcolian artillery.,Destroy target friendly unit. Deal damage equal to that unit’s attack to all enemy units.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_ArtilleryVolley/Mcl_ArtilleryVolley_Non_Lgn_Fe_Img.png,10,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_ArtilleryVolley/Mcl_ArtilleryVolley_Non_Prm_Mp_Img.png
Neutron Bomb,Marcolian,Effect,Legendary,500,"For every task, the Marcolian Artillery Corps has the destructive answer.","Deal 3 damage to target enemy unit. If that unit is destroyed, deal 2 damage to another target enemy unit. If that unit is destroyed, deal 1 damage to another target enemy unit.",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_NeutronBomb/Mcl_NeutronBomb_Non_Lgn_Fe_Img.png,11,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_NeutronBomb/Mcl_NeutronBomb_Non_Prm_Mp_Img.png
Orbital Strike,Marcolian,Effect,Rare,"3,000","The clouds opened and for a moment they expected the warmth of the sun. Instead, they felt the fury of the Marcolian High Guard.",Deal 5 damage to any target.,4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_OrbitalStrike/Mcl_OrbitalStrike_Non_Rar_Fe_Img.png,12,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_OrbitalStrike/Mcl_OrbitalStrike_Non_Prm_Mp_Img.png
Aurora Fungi,Earthen,Upgrade,Uncommon,"10,000","Easy to find for a skilled gatherer, but harvesting is an exceptionally delicate process. Valuable for its natural properties and a delight for the more adventurous during festivals.",Upgraded unit has +2/+3.,2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_AuroraFungi/Ert_AuroraFungi_Non_Ucm_Fe_Img.png,13,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_AuroraFungi/Ert_AuroraFungi_Non_Prm_Mp_Img.png
Kethtrexamine,Augencore,Upgrade,Legendary,500,"The battle raged on, but we didn't lose an inch of ground. Our Keth kept us going but who knows what the long term side effects are. Very dangerous over short distances.",Upgraded unit deals and takes double damage.,3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_Kethtrexamine/Agc_Kethtrexamine_Non_Lgn_Fe_Img.png,14,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_Kethtrexamine/Agc_Kethtrexamine_Non_Prm_Mp_Img.png
Graphene Batteries,Augencore,Upgrade,Uncommon,"10,000","They are more of a slow release explosion than a battery. Comprised of highly volatile chemicals, it has a singular cycle life and outputs immense amounts of energy. Handle with fear lest we all feel the catastrophic consequences.","Upgraded unit has +4/+0. After upgraded unit is destroyed, deal damage equal to its attack to all friendly units.",2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_GrapheneBatteries/Agc_GrapheneBatteries_Non_Ucm_Fe_Img.png,15,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Agc_GrapheneBatteries/Agc_GrapheneBatteries_Non_Prm_Mp_Img.png
Ashes To Ashes,Shroud,Effect,Rare,"3,000","No sacrifice, no offering will go unnoticed.",Banish a random card in your hand. Draw 2 cards.,2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_AshesToAshes/Shr_AshesToAshes_Non_Rar_Fe_Img.png,16,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Shr_AshesToAshes/Shr_AshesToAshes_Non_Prm_Mp_Img.png
Recon,Universal,Effect,Uncommon,"20,000",“Every battle is won before it is ever fought” - Sun Tzu,"Choose a card type, then reveal two enemy banked cards. If either card is the chosen type, draw a card.",2,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_Recon/Unv_Recon_Non_Ucm_Fe_Img.png,17,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Unv_Recon/Unv_Recon_Non_Prm_Mp_Img.png
Synchronicity,Kathari,Effect,Common,"50,000","“I don’t get it. If you call one, do they both respond?” - Stel, Echelon Cartel Thug",Play a copy of target non-paragon unit.,4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_Synchronicity/Kat_Synchronicity_Non_Cmn_Fe_Img.png,18,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_Synchronicity/Kat_Synchronicity_Non_Prm_Mp_Img.png
Gaffar's Peace Pipe,Earthen,Relic,Legendary,500,"An ancient rite, favored by the Earthen leader Gaffar. The pipe passed down from generation to generation, and now it finds itself a key tool of diplomacy in his hands.","At the start of each player's turn, this relic gains 1 counter and a random unit that player controls gains Pacifist until this relic leaves the field.
After there are 6 or more counters on this relic, destroy it.",4,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_GaffarsPeacePipe/Ert_GaffarsPeacePipe_Non_Lgn_Fe_Img.png,19,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_GaffarsPeacePipe/Ert_GaffarsPeacePipe_Non_Prm_Mp_Img.png
Cytokinesis,Kathari,Effect,Rare,"2,000","Our enemies may think that we share a consciousness, but each Child of Europa is capable of individual thought, bolstered by the experiences of each of their predecessors.","Choose a unit in your deck, draw all copies of it, then shuffle your deck.",3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_Cytokinesis/Kat_Cytokinesis_Non_Rar_Fe_Img.png,20,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Kat_Cytokinesis/Kat_Cytokinesis_Non_Prm_Mp_Img.png
The First Son Of Mars,Marcolian,Relic,Prime,5,"Here lies Mars’ first son, whose invigorating spirit can still be felt in the surrounding air. As was his way, all who visit the monument in Jezero leave with newfound vision and focus.","Destroy this Relic to bring a Unit back from your Waste.
If banked, add an additional 3 Energy this turn.",0,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_TheFirstSonOfMars/Mcl_TheFirstSonOfMars_Non_Prm_Fe_Img.png,41,@OSCARMARSTUDIO,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_TheFirstSonOfMars/Mcl_TheFirstSonOfMars_Non_Prm_Mp_Img.png
Malachite Shield,Earthen,Upgrade,Uncommon,"10,000","“We protect our planet, and in return, the very Earth itself rises to protect us.” - Soleia, Disciple of Gaffar","Upgraded unit has +1/+4 and Defender.
After this unit deals damage to a player, that player reveals one of their banked cards.",3,,,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_MalachiteShield/Ert_MalachiteShield_Non_Ucm_Fe_Img.png,10105,@CAFARO_OSCAR,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Ert_MalachiteShield/Ert_MalachiteShield_Non_Prm_Mp_Img.png
Marcolian Bannerman,Marcolian,Unit,Common,"50,000","The Banner of Mars flies high amongst the Marcolian forces. The act of carrying it is a great honor, often awarded to those who have shown great courage in past conflicts, as it is to be guarded with their life.","After you play an effect, this unit gains +1/+1.",1,1.0,2.0,https://cdn.parallelnft.com/unsafe/600x900/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_MarcolianBannerman/Mcl_MarcolianBannerman_Non_Cmn_Fe_Img.png,10108,@NACHOYAGUE,https://cdn.parallelnft.com/unsafe/600x750/https://prl-content-publish-prod.s3.amazonaws.com/Cards/Mcl_MarcolianBannerman/Mcl_MarcolianBannerman_Non_Prm_Mp_Img.png
